ID,描述
int,string
ID,desc
1,建筑：不会行动。
2,卫士：嘲讽，附近敌方英雄必须优先攻击嘲讽的英雄。
3,护卫：支援时速度提高1点。
4,潜行者：隐藏，附近敌方英雄在可以攻击其他英雄的情况下无法攻击隐藏的英雄。
5,战士：攻击时速度提高1点。
6,刺客：能攻击两次。
7,武士：防御时速度提高1点。
8,贵族：气势加倍，附近敌方英雄有更高概率混乱，附近友方英雄有更低概率混乱。
9,平民：没有特殊能力。
10,勇士：统御能力提高1点。
102,卫士：嘲讽，附近敌方英雄必须攻击嘲讽的英雄。
103,护卫：支援时速度提高1点。
104,潜行者：隐藏，附近敌方英雄在可以攻击其他英雄的情况下无法攻击隐藏的英雄。
105,战士：攻击时速度提高1点。
106,刺客：能攻击两次。
107,武士：防御时速度提高1点。
108,贵族：气势加倍，附近敌方英雄有更高概率混乱，附近友方英雄有更低概率混乱。
109,平民：没有特殊能力。
110,勇士：统御能力提高1点。
202,卫士：嘲讽，附近敌方英雄必须攻击嘲讽的英雄。
203,护卫：支援时速度提高1点。
204,潜行者：隐藏，附近敌方英雄在可以攻击其他英雄的情况下无法攻击隐藏的英雄。
205,战士：攻击时速度提高1点。
206,刺客：能攻击两次。
207,武士：防御时速度提高1点。
208,贵族：气势加倍，附近敌方英雄有更高概率混乱，附近友方英雄有更低概率混乱。
209,平民：没有特殊能力。
210,勇士：统御能力提高1点。
10000,光环：{0}
10001,射击：{0}
10002,支援：{0}
10003,效果：{0}
10004,特性：{0}
1000,等级：招募英雄的花费。
1001,攻击力：攻击时造成的伤害值。
1002,士气：攻击时转化为伤害值。抵消真实伤害与士气伤害，无法抵消穿透伤害。回合结束时，如果受到攻击的次数小于统御能力则会完全恢复。
1003,生命值：抵消真实伤害与穿透伤害，无视士气伤害。降低至0则英雄死亡。
1004,对方分数：回合结束前如果双方都没有占领对方基地，则以双方分数计算胜负。
1005,对方金钱：金钱用来招募英雄进行作战，每回合结束时每补充一张手牌就会增加@BattleConst.ADD_MONEY@点，最多保留@BattleConst.MAX_MONEY@点。
1006,对方手牌数量：每回合结束时补充@battle.addCardsNum@张手牌，最多保留@BattleConst.MAX_HAND_CARD_NUM@张。
1007,我方金钱：金钱用来招募英雄进行作战，每回合结束时每补充一张手牌就会增加@BattleConst.ADD_MONEY@点，最多保留@BattleConst.MAX_MONEY@点。
1008,我方分数：回合结束前如果双方都没有占领对方基地，则以双方分数计算胜负。
1009,剩余回合数：回合结束前如果双方都没有占领对方基地，则以双方分数计算胜负。
1010,对方剩余手牌数：每回合结束时补充@battle.addCardsNum@张手牌，最多保留@BattleConst.MAX_HAND_CARD_NUM@张。
1011,我方剩余手牌数：每回合结束时补充@battle.addCardsNum@张手牌，最多保留@BattleConst.MAX_HAND_CARD_NUM@张。
